test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize
0.4533841437084513,0.5122681029323758,0.5060868693235538,0.5501806503412284,1,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.44286106825131105,0.5050867743865949,0.5061570638627052,0.5066238458450422,2,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.33366585529398596,0.5002992220227409,0.5,0.5,4,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.3451943890617574,0.49730700179533216,0.5188758845944476,0.5459654757125653,8,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.33538597494816613,0.5002992220227409,0.5254190184224852,0.5560016057808109,16,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.33538597494816613,0.5002992220227409,0.5254190184224852,0.5560016057808109,32,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.6258395419922241,0.6259724715739078,0.6629845572013868,0.6073865917302289,64,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.6089975856294193,0.6092160383004189,0.6546958714150646,0.6676033721397029,128,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.6250837292979816,0.6253740275284261,0.6688995215311005,0.6575672420714573,256,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.6310728071047232,0.6313584679832436,0.6745967395352834,0.6579686872741871,512,47_reasoning_tf,16,layer_16/width_16k/batch_topk_32,l1,False
0.8250525592451601,0.8298850574712644,0.9859587234157693,0.9821428571428571,1,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.5733345274467992,0.631264367816092,0.9892639956166459,0.9829545454545454,2,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.5109559654347959,0.592183908045977,0.9888006317982574,0.9821428571428571,4,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.3707670893605729,0.5172413793103449,0.9859654878510742,0.9821428571428571,8,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.3591041368398007,0.5117241379310344,0.9834389712646788,0.9821428571428571,16,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.9595376125890228,0.9595402298850575,0.9901002489312193,0.9914772727272727,32,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.975172403296566,0.9751724137931035,0.9971530182910331,0.9935064935064934,64,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.9839080051570138,0.9839080459770115,0.998511824232913,0.9963474025974025,128,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.9871263823548422,0.9871264367816092,0.9987714094377401,0.9926948051948052,256,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.9912643456566645,0.991264367816092,0.9993573786460306,0.997564935064935,512,69_blood-pressure,24,layer_24/width_16k/standard,l1,False
0.7245858730991787,0.7247798742138365,0.7570703536771712,0.7386954781912766,1,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.6955434282969777,0.6976100628930818,0.7602809863711711,0.7559023609443777,2,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.7130443524769058,0.7149685534591195,0.795427066677873,0.8215286114445778,4,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.7105301191830637,0.7127044025157233,0.8052130093089994,0.8179271708683473,8,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.7870989905224804,0.7871698113207547,0.8765457617370049,0.8579431772709084,16,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.8495587010922415,0.8495597484276729,0.9272628726561684,0.9343737494997999,32,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.8568451804879162,0.8568553459119497,0.9313963802948542,0.9415766306522609,64,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.8550943212808773,0.8550943396226415,0.93263304031537,0.9375750300120048,128,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.8641453546692143,0.8641509433962264,0.9372612119622618,0.9287715086034414,256,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.8613678022810131,0.8613836477987421,0.9319857241081111,0.9447779111644657,512,5_hist_fig_ismale,24,layer_24/width_16k/batch_topk_32,l1,False
0.7933042734451184,0.798974358974359,0.801789140606591,0.784577723378213,1,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.8038240854654517,0.8051282051282052,0.831874642340189,0.8045695634434924,2,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.8110365114383956,0.8133333333333334,0.8465681489211296,0.8361893104855161,4,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.7650031235579907,0.7651282051282051,0.847817854377756,0.8678090575275398,8,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.7770512867794814,0.7774358974358975,0.8671903928367051,0.9004487964096287,16,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.8020500326655566,0.8020512820512821,0.8854100043760731,0.9073847409220727,32,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.8173897953897953,0.8174358974358974,0.9044711684114854,0.9375764993880049,64,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.8348057592297641,0.8348717948717949,0.9140522435789544,0.9388004895960832,128,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.8235886301416863,0.8235897435897436,0.912255528999899,0.9355365157078744,256,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.8388268506875473,0.838974358974359,0.904311273437237,0.9400244798041616,512,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False
0.6451072990454586,0.6451282051282051,0.6939967852694653,0.7264381884944922,1,63_wikidata_occupation_issinger,24,layer_24/width_16k/standard,l1,False
0.674754785791352,0.6748717948717948,0.726731073484364,0.7017543859649124,2,63_wikidata_occupation_issinger,24,layer_24/width_16k/standard,l1,False
0.6776499490486779,0.678974358974359,0.7402085367085199,0.718890248878009,4,63_wikidata_occupation_issinger,24,layer_24/width_16k/standard,l1,False
0.6234911629457682,0.642051282051282,0.730589591678729,0.6715626274989799,8,63_wikidata_occupation_issinger,24,layer_24/width_16k/standard,l1,False
0.7404975334538615,0.7405128205128205,0.7994201703302252,0.824969400244798,16,63_wikidata_occupation_issinger,24,layer_24/width_16k/standard,l1,False
0.7764055522288217,0.7764102564102564,0.8355143568855825,0.8184414524683803,32,63_wikidata_occupation_issinger,24,layer_24/width_16k/standard,l1,False
0.7813889798294434,0.7815384615384615,0.8525936647928097,0.8853529171766626,64,63_wikidata_occupation_issinger,24,layer_24/width_16k/standard,l1,False
0.8071794871794872,0.8071794871794872,0.8827464907260915,0.9045287637698899,128,63_wikidata_occupation_issinger,24,layer_24/width_16k/standard,l1,False
