dataset,layer,sno_sae,sno_logreg,sno_raw,jss_sae,jss_logreg,jss_raw,auc_sae,auc_logreg,auc_raw,sno_sae_vs_logreg,jss_sae_vs_logreg
142_cancer_cat_Thyroid_Cancer,24,0.5841584158415841,0.7777777777777778,0.3559322033898305,0.496631541805689,0.8766216308965866,0.8795808519202607,0.9845301237590098,0.995172038623691,0.9953420372637019,0.19361936193619367,-0.3799900890908976
143_cancer_cat_Lung_Cancer,24,0.45454545454545453,0.8390804597701149,0.25984251968503935,0.4954622714072851,0.860601995806835,0.8573907510508775,0.9848021215830274,0.9997280021759826,1.0,0.3845350052246604,-0.36513972439954995
144_cancer_cat_Colon_Cancer,24,0.6666666666666666,0.797752808988764,0.415929203539823,0.5162804225007315,0.8950170246024817,0.894858224729797,0.9903780769753842,0.9985040119679043,1.0,0.13108614232209737,-0.3787366021017502
145_disease_class_digestive system diseases,24,0.927710843373494,0.9753086419753086,0.8823529411764706,0.5444555587005877,0.6999054101733677,0.7009069019562542,0.5920408163265306,0.613469387755102,0.6616326530612244,0.04759779860181468,-0.15544985147278
146_disease_class_cardiovascular diseases,24,0.927710843373494,0.9047619047619048,0.7777777777777778,0.5534977445326528,0.7133518608395893,0.7144874537757211,0.5991836734693878,0.8395918367346938,0.9028571428571428,-0.022948938611589198,-0.15985411630693658
147_disease_class_nervous system diseases,24,0.927710843373494,0.9753086419753086,0.8181818181818182,0.5592979730202127,0.7244588802920565,0.7210125897402243,0.6338775510204081,0.7489795918367348,0.8387755102040816,0.04759779860181468,-0.16516090727184385
151_it_tick_HR Support,24,0.9047619047619048,0.927710843373494,0.6666666666666666,0.5355203866234856,0.6664678002157567,0.665263281246822,0.6714693857445446,0.7370819171469385,0.7867100142850105,0.022948938611589198,-0.13094741359227113
152_it_tick_Hardware,24,0.927710843373494,0.8823529411764706,0.7777777777777778,0.5427161155501251,0.6688377955076897,0.6657826522217934,0.6565686419388207,0.6903600807841979,0.7542731885128812,-0.0453579021970234,-0.12612167995756463
153_it_tick_Administrative rights,24,0.797752808988764,0.9047619047619048,0.6161616161616161,0.5417276280959411,0.6852862416840663,0.6874933398849749,0.7727944436234668,0.7720801930939363,0.8924683513127432,0.10700909577314077,-0.14355861358812516
23_headline_ischina,24,0.6842105263157895,0.8823529411764706,0.6161616161616161,0.5154249939517969,0.6901766987899546,0.6760158769706811,0.916072758217211,0.977697408077155,0.9963301776406766,0.19814241486068107,-0.17475170483815772
24_headline_isiran,24,0.7021276595744681,0.8604651162790697,0.6,0.5159354499615364,0.7121878236138844,0.7026339446191514,0.9091736992289479,0.972831036366948,0.9851253718657034,0.15833745670460164,-0.19625237365234804
41_truthqa_tf,24,0.6494845360824743,0.797752808988764,0.6666666666666666,0.5597026890906869,0.8745622020348623,0.8682226170417902,0.923265306122449,0.8677551020408163,0.956326530612245,0.14826827290628974,-0.31485951294417547
73_control-group,24,0.6,0.8823529411764706,0.36752136752136755,0.6989256658665814,0.7173690605098506,0.7107798352404568,0.9715633088678509,0.9964542779136971,0.996862035953622,0.2823529411764706,-0.018443394643269162
95_toxic_is,24,0.7021276595744681,0.7021276595744681,0.44144144144144143,0.4947757380315402,0.8434836581626807,0.8402034748505024,0.9510204081632653,0.9595918367346938,0.9775510204081633,0.0,-0.3487079201311405
96_spam_is,24,0.391304347826087,0.7777777777777778,0.2698412698412698,0.6636276649823284,0.7639576242819203,0.7435853390794308,0.993653391525732,0.9995090016366611,0.9995635570103655,0.3864734299516908,-0.10032995929959188
